Time,ExternalID,Role,Location,LinkTitle,LinkType,URL
9/13/20 9:06 PM,8845,User,Responder Service,Shopping,Category,NULL
9/13/20 9:05 PM,9533,User,Belses Gardens,Glasgow Evening Times,Internet,http://www.eveningtimes.co.uk/
9/13/20 9:05 PM,9533,User,Belses Gardens,My Interests,Category,NULL
9/13/20 8:59 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 8:59 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 8:56 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 8:50 PM,NULL,User,North Housing,Google,Internet,https://www.google.co.uk/
9/13/20 8:47 PM,8379,User,Aberdeen C@H,Youtube Music,Internet,https://youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ?gl=GB&hl=en-GB
9/13/20 8:47 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 8:47 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 8:43 PM,5300,User,Menzieshill C@H,Brain Games,Internet,https://www.brain-games.co.uk/Puzzle+Games
9/13/20 8:40 PM,5325,User,Broom Court,My Music,Category,NULL
9/13/20 8:40 PM,5325,User,Broom Court,Entertainment,Category,NULL
9/13/20 8:34 PM,8379,User,Aberdeen C@H,Youtube,Internet,https://www.youtube.com/
9/13/20 8:34 PM,8379,User,Aberdeen C@H,Online TV,Category,NULL
9/13/20 8:34 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 8:34 PM,5300,User,Menzieshill C@H,Thinking/Puzzle Games,Internet,http://www.y8.com/categories/thinking
9/13/20 8:31 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 8:31 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 8:31 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 8:24 PM,5300,User,Menzieshill C@H,Thinking/Puzzle Games,Internet,http://www.y8.com/categories/thinking
9/13/20 8:21 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 8:20 PM,5306,User,Broom Court,Latch Hook Kits,Internet,http://www.createandcraft.com/gb/knitting/latch+hook
9/13/20 8:18 PM,5306,User,Broom Court,Latch Hook Kits,Internet,http://www.createandcraft.com/gb/knitting/latch+hook
9/13/20 8:18 PM,5306,User,Broom Court,Boccia UK,Internet,http://boccia.uk.com/
9/13/20 8:17 PM,8379,User,Aberdeen C@H,70s Music Playlist,Internet,https://www.youtube.com/results?search_query=70s
9/13/20 8:17 PM,8379,User,Aberdeen C@H,My Music,Category,NULL
9/13/20 8:17 PM,8379,User,Aberdeen C@H,Entertainment,Category,NULL
9/13/20 7:52 PM,8845,User,Responder Service,Youtube Music,Internet,https://youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ?gl=GB&hl=en-GB
9/13/20 7:39 PM,5367,User,Broom Court,Klondike Solitaire,Internet,https://www.solitaire-klondike.com/klondike.html
9/13/20 7:39 PM,5367,User,Broom Court,Single Player Games,Category,NULL
9/13/20 7:39 PM,5367,User,Broom Court,Play Games,Category,NULL
9/13/20 7:39 PM,5367,User,Broom Court,Entertainment,Category,NULL
9/13/20 7:28 PM,5325,User,Broom Court,Family & Friends,Internet,contacts.asp
9/13/20 7:18 PM,5385,User,Broom Court,Comfort Break,Services,LIST
9/13/20 7:18 PM,5385,User,Broom Court,Ask For,Category,NULL
9/13/20 7:18 PM,9137,User,Glasgow West C@H,BBC Football,Internet,https://www.bbc.co.uk/sport/0/football/
9/13/20 7:16 PM,9137,User,Glasgow West C@H,BBC Football,Internet,https://www.bbc.co.uk/sport/0/football/
9/13/20 7:13 PM,9137,User,Glasgow West C@H,Celtic FC,Internet,http://www.celticfc.net/mainindex
9/13/20 7:10 PM,9137,User,Glasgow West C@H,Celtic FC,Internet,http://www.celticfc.net/mainindex
9/13/20 7:10 PM,9137,User,Glasgow West C@H,Celtic FC,Internet,http://www.celticfc.net/mainindex
9/13/20 7:10 PM,9137,User,Glasgow West C@H,My Interests,Category,NULL
9/13/20 7:06 PM,9137,User,Glasgow West C@H,Celtic FC,Internet,http://www.celticfc.net/mainindex
9/13/20 7:06 PM,9137,User,Glasgow West C@H,My Interests,Category,NULL
9/13/20 7:03 PM,5306,User,Broom Court,Latch Hook Kits,Internet,http://www.createandcraft.com/gb/knitting/latch+hook
9/13/20 7:02 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 7:02 PM,5385,User,Broom Court,Ask For,Category,NULL
9/13/20 7:01 PM,5306,User,Broom Court,Latch Hook Kits,Internet,http://www.createandcraft.com/gb/knitting/latch+hook
9/13/20 7:01 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 7:00 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 6:59 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
9/13/20 6:59 PM,9137,User,Glasgow West C@H,Celtic FC,Internet,http://www.celticfc.net/mainindex
9/13/20 6:59 PM,9137,User,Glasgow West C@H,My Interests,Category,NULL
9/13/20 6:59 PM,5306,User,Broom Court,Redicut,Internet,http://www.readicut.co.uk/
